brand,supplier_ref,normalized_ref,name,normalized_name,category,image_url,pdf_url,source_url
orkli,E-16324-00,E16324,"55,55 € 20","55,55 € 20",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,E-16401-00,E16401,"43,97 € 20","43,97 € 20",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,F-7907-00,F7907,"86,44 € 20","86,44 € 20",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,E-23758-00,E23758,"75,54 € 20","75,54 € 20",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,E-23828-00,E23828,"86,46 € 20","86,46 € 20",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,E-1901-00,E1901,"34,88 € 20","34,88 € 20",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,E-3259-00,E3259,"34,88 € 20","34,88 € 20",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,E-23545-00,E23545,"34,88 € 20","34,88 € 20",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,V-07457-00,V07457,"20,67 € 10","20,67 € 10",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
orkli,V-05369,V05369,"64,97 €","64,97 €",repuestos,,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95,https://www.orkli.com/documents/26715/33991/Orkli%2Btarifa%2Brepuestos%2B2021%2Biraila/deb3b515-a3c0-4fbb-8015-a812a463dc95
